dataset_name,size,attributes,classes,ratio
COIL20,1440,1024,20,14
USPS,9298,256,10,186
arcene,200,10000,2,1
colon,62,2000,2,10
madelon,2600,500,2,9
lung-discrete,73,325,7,3
connectionist-bench-sonar,208,60,2,21
optical-recognition-handwritten-digits,3823,64,10,22
ozone-level-detection-one,1848,72,2,185
ozone-level-detection-eight,1847,72,2,185
libras-movement,360,90,15,5
hill-valley-noise,606,100,2,61
hill-valley,606,100,2,61
adult,32561,107,2,8140
mushroom,8124,111,2,2031
horse-colic,300,121,2,75
lung-cancer,32,146,3,5
